segment_id,segment_name,category,value_chain_order,priority,status,description
SEG001,重電メーカー（特別高圧・大型変圧器）,重電,1,高,完了,データセンター・半導体工場向け特別高圧変圧器。受注残拡大が顕著な領域
SEG002,重電メーカー（発電機・タービン・非常用電源）,重電,2,高,完了,ガスタービン発電機・非常用発電機。データセンター向け需要急増
SEG003,送配電インフラ（開閉装置・遮断器・地中線）,重電,3,高,完了,系統連系・変電所設備。GIS（ガス絶縁開閉装置）等
SEG004,データセンター建設ゼネコン,建設,4,高,完了,大型データセンターの元請けゼネコン
SEG005,データセンター建設サブコン（電気・空調設備工事）,建設,5,高,完了,電気設備工事・空調設備工事の専門工事会社
SEG006,産業冷却・空調（液冷・チラー・CRAC/CRAH）,冷却空調,6,高,完了,データセンター向け液冷システム・precision cooling
SEG007,電線・ケーブル（電力ケーブル・光ファイバー）,電線,7,中,完了,データセンター・変電所向け電力ケーブル、DC間光ファイバー
SEG008,半導体前工程（ロジック・メモリファウンドリ）,半導体,8,中,完了,AI半導体（GPU/HBM等）の受託製造・メモリ
SEG009,半導体後工程（パッケージング・テスト）,半導体,9,中,完了,先端パッケージング（CoWoS等）・OSAT
SEG010,半導体製造装置・部材,半導体,10,中,完了,露光装置・成膜装置・シリコンウエハ等
SEG011,電力インフラ（発送電・系統増強・レベニューキャップ）,電力,11,中,完了,電力会社・送配電事業者の設備投資拡大
SEG012,非常用発電機・UPS（無停電電源装置）,周辺設備,12,中,完了,データセンター向けバックアップ電源
SEG013,防音・免震・セキュリティ設備,周辺設備,13,低,完了,データセンター向け特殊建材・セキュリティシステム
SEG014,建設資材・特殊建材（コンクリート・鉄骨等）,周辺設備,14,低,完了,データセンター・工場建設向け資材メーカー
SEG015,半導体製造装置 部品・サブシステム,半導体周辺,15,中,完了,流体制御・バルブ・シール・真空・搬送・精密機構等の半導体製造装置内蔵部品/サブシステム（SMC等）。AI半導体増産で装置需要拡大の恩恵
SEG016,電子部品・パッケージ基板・産業ガス等（周辺・下流）,半導体周辺,16,中,完了,ICパッケージ基板・MLCC・産業/特殊ガス・前駆体材料等の周辺/下流。AIサーバー・AI半導体需要で構造的に拡大
SEG017,データセンター構築・ITインフラSI／DC運営,DC・IT,17,中,完了,箱（建屋）完成後にIT機器を搬入・据付・構築して稼働させる層。DC構築ITファシリティSIer（請負）と自社DCを建設するDC運営事業者（発注者）。AI/GPU基盤の物理現場工事でANDPAD現場管理と親和
